sen	label	f_w	f_p	f_weight	p_weight
haha wow it ' s amaze how some senior can leave after fourth period jealous : loudly_crying_face : : sad_but_relieved_face :	1	1	1	[0.1251528114080429, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866, 0.04604458063840866]	[0.15677380561828613, 0.021221397444605827, 0.02121730148792267, 0.02156432531774044, 0.021550307050347328, 0.15677380561828613, 0.02294541895389557, 0.044457994401454926, 0.044457994401454926, 0.044457994401454926, 0.044457994401454926, 0.044457994401454926, 0.044457994401454926, 0.044457994401454926, 0.044457994401454926, 0.044457994401454926, 0.044457994401454926, 0.044457994401454926, 0.044457994401454926, 0.044457994401454926]
i really admire your maturity .	0	0	0	[0.10806681215763092, 0.10798592865467072, 0.10807175189256668, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818, 0.0397573746740818]	[0.12965679168701172, 0.12965628504753113, 0.017552131786942482, 0.02965529076755047, 0.01754757948219776, 0.12965676188468933, 0.06828968971967697, 0.03676814213395119, 0.03676814213395119, 0.03676814213395119, 0.03676814213395119, 0.03676814213395119, 0.03676814213395119, 0.03676814213395119, 0.03676814213395119, 0.03676814213395119, 0.03676814213395119, 0.03676814213395119, 0.03676814213395119, 0.03676814213395119]
nothing like be in class two hour and have two hour to go ! tde 220	1	0	0	[0.03986670821905136, 0.10836894810199738, 0.03986670821905136, 0.03986670821905136, 0.1055281013250351, 0.10836883634328842, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136, 0.03986670821905136]	[0.12013915926218033, 0.1210281178355217, 0.09718877822160721, 0.05451739951968193, 0.02349485270678997, 0.1210281178355217, 0.016428105533123016, 0.03432121500372887, 0.03432121500372887, 0.03432121500372887, 0.03432121500372887, 0.03432121500372887, 0.03432121500372887, 0.03432121500372887, 0.03432121500372887, 0.03432121500372887, 0.03432121500372887, 0.03432121500372887, 0.03432121500372887, 0.03432121500372887]
to anyone still make the ' something about a picture of andy carroll . oh no wait , it ' s a horse ' joke ; stop .	0	1	1	[0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806]	[0.024560509249567986, 0.17962171137332916, 0.02431367337703705, 0.03553059697151184, 0.024889180436730385, 0.0243091844022274, 0.024591421708464622, 0.050937220454216, 0.050937220454216, 0.050937220454216, 0.050937220454216, 0.050937220454216, 0.050937220454216, 0.050937220454216, 0.050937220454216, 0.050937220454216, 0.050937220454216, 0.050937220454216, 0.050937220454216, 0.050937220454216]
lmfao cinnabon follow me : face_with_tears_of_joy :	0	0	0	[0.0994504988193512, 0.036585792899131775, 0.09945046901702881, 0.05394954979419708, 0.09945041686296463, 0.09891197830438614, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775, 0.036585792899131775]	[0.11172619462013245, 0.10992974787950516, 0.11172619462013245, 0.11172619462013245, 0.015128478407859802, 0.11172619462013245, 0.016153285279870033, 0.03168337047100067, 0.03168337047100067, 0.03168337047100067, 0.03168337047100067, 0.03168337047100067, 0.03168337047100067, 0.03168337047100067, 0.03168337047100067, 0.03168337047100067, 0.03168337047100067, 0.03168337047100067, 0.03168337047100067, 0.03168337047100067]
eww , just saw this nasty , frumpy girl lift up her boob and scratch underneath it . just puke a little	0	0	0	[0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.11594465374946594, 0.11598976701498032, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515]	[0.022181611508131027, 0.021318873390555382, 0.15581564605236053, 0.028123198077082634, 0.15581564605236053, 0.021103741601109505, 0.021219899877905846, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571]
hoam rt user : we live in a world where lose your phone be more dramatic than lose your virginity .	0	0	0	[0.03975416719913483, 0.03975416719913483, 0.10805365443229675, 0.1080629751086235, 0.10806223750114441, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483]	[0.0805271714925766, 0.019980302080512047, 0.019990643486380577, 0.01998589001595974, 0.14763548970222473, 0.01998031511902809, 0.1476352959871292, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073]
user pres . obama should have say `` freestyle ? be that like dressage on a bike ? ``	0	0	0	[0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.11594465374946594, 0.11598976701498032, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515, 0.042670320719480515]	[0.022181611508131027, 0.021318873390555382, 0.15581564605236053, 0.028123198077082634, 0.15581564605236053, 0.021103741601109505, 0.021219899877905846, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571, 0.04418627917766571]
user pew yg rmai ?	0	1	1	[0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806]	[0.024063337594270706, 0.16879425942897797, 0.0769500806927681, 0.02284392900764942, 0.03757152333855629, 0.02284451574087143, 0.02466461807489395, 0.047866761684417725, 0.047866761684417725, 0.047866761684417725, 0.047866761684417725, 0.047866761684417725, 0.047866761684417725, 0.047866761684417725, 0.047866761684417725, 0.047866761684417725, 0.047866761684417725, 0.047866761684417725, 0.047866761684417725, 0.047866761684417725]
dirt under your finger nail have to be the most disgusting look thing ever	0	0	0	[0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.11598465591669083, 0.04266839101910591, 0.04266839101910591, 0.11598452180624008, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591]	[0.0604914054274559, 0.02986735664308071, 0.029285842552781105, 0.029285991564393044, 0.029714569449424744, 0.03454156219959259, 0.05641062930226326, 0.0380655974149704, 0.029266798868775368, 0.04982612282037735, 0.061324410140514374, 0.061324410140514374, 0.061324410140514374, 0.061324410140514374, 0.061324410140514374, 0.061324410140514374, 0.061324410140514374, 0.061324410140514374, 0.061324410140514374, 0.061324410140514374]
user user انا مقتنع براى وهقنعك وممكن بكره القيكى بتتجوزى laugh 	0	0	0	[0.11598465591669083, 0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442]	[0.11957070231437683, 0.11957070231437683, 0.11929917335510254, 0.07047310471534729, 0.017000192776322365, 0.01618225686252117, 0.01640821248292923, 0.046627476811409, 0.016218407079577446, 0.11957070231437683, 0.033907920122146606, 0.033907920122146606, 0.033907920122146606, 0.033907920122146606, 0.033907920122146606, 0.033907920122146606, 0.033907920122146606, 0.033907920122146606, 0.033907920122146606, 0.033907920122146606]
user user hopefully not a stranger car . happy 	0	0	0	[0.03498201444745064, 0.03498201444745064, 0.095033198595047, 0.0950903668999672, 0.03498201444745064, 0.09509089589118958, 0.09496962279081345, 0.03498201444745064, 0.09508560597896576, 0.03498201444745064, 0.03498201444745064, 0.03498201444745064, 0.03498201444745064, 0.03498201444745064, 0.03498201444745064, 0.03498201444745064, 0.03498201444745064, 0.03498201444745064, 0.03498201444745064, 0.03498201444745064]	[0.022817337885499, 0.0849808007478714, 0.01627068594098091, 0.01629919931292534, 0.12010771036148071, 0.11665725708007812, 0.12010771036148071, 0.01625484973192215, 0.025811942294239998, 0.12009066343307495, 0.03406020626425743, 0.03406020626425743, 0.03406020626425743, 0.03406020626425743, 0.03406020626425743, 0.03406020626425743, 0.03406020626425743, 0.03406020626425743, 0.03406020626425743, 0.03406020626425743]
i feel so much good and my voice be semi - normal .	0	0	0	[0.037211962044239044, 0.037211962044239044, 0.10115054994821548, 0.037211962044239044, 0.10115260630846024, 0.037211962044239044, 0.10115260630846024, 0.10115260630846024, 0.037211962044239044, 0.037211962044239044, 0.037211962044239044, 0.037211962044239044, 0.037211962044239044, 0.037211962044239044, 0.037211962044239044, 0.037211962044239044, 0.037211962044239044, 0.037211962044239044, 0.037211962044239044, 0.037211962044239044]	[0.07918886840343475, 0.019648244604468346, 0.019657019525766373, 0.026948362588882446, 0.019767286255955696, 0.019773421809077263, 0.09300241619348526, 0.019942911341786385, 0.14518190920352936, 0.1451815515756607, 0.041170768439769745, 0.041170768439769745, 0.041170768439769745, 0.041170768439769745, 0.041170768439769745, 0.041170768439769745, 0.041170768439769745, 0.041170768439769745, 0.041170768439769745, 0.041170768439769745]
user just pass by your house bud : winking_face :	0	0	0	[0.03721504285931587, 0.03721504285931587, 0.03721504285931587, 0.10113083571195602, 0.10116004943847656, 0.03721504285931587, 0.10110758990049362, 0.10116084665060043, 0.03721504285931587, 0.03721504285931587, 0.03721504285931587, 0.03721504285931587, 0.03721504285931587, 0.03721504285931587, 0.03721504285931587, 0.03721504285931587, 0.03721504285931587, 0.03721504285931587, 0.03721504285931587, 0.03721504285931587]	[0.02912398986518383, 0.04500701278448105, 0.11465918272733688, 0.018380098044872284, 0.09347917139530182, 0.11463279277086258, 0.10973258316516876, 0.10056434571743011, 0.016754280775785446, 0.03251512721180916, 0.03251512721180916, 0.03251512721180916, 0.03251512721180916, 0.03251512721180916, 0.03251512721180916, 0.03251512721180916, 0.03251512721180916, 0.03251512721180916, 0.03251512721180916, 0.03251512721180916]
user great way to start the senior year	0	1	1	[0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.10807184129953384, 0.10797630995512009, 0.039757613092660904, 0.039757613092660904, 0.10807238519191742, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904]	[0.10621774196624756, 0.014375175349414349, 0.014376763254404068, 0.10621774196624756, 0.10621774196624756, 0.10621774196624756, 0.08983968198299408, 0.10072987526655197, 0.024473562836647034, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962]
love work on my last day of summer .	1	1	1	[0.04268389195203781, 0.11602684110403061, 0.04268389195203781, 0.11566312611103058, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781]	[0.0183105431497097, 0.13481485843658447, 0.13481485843658447, 0.01831611804664135, 0.08896917849779129, 0.018256010487675667, 0.1280067414045334, 0.01843663491308689, 0.019535893574357033, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136]
love get home from work know that in less than 8 hour you be get up to go back there again .	1	0	0	[0.08968374133110046, 0.08968374133110046, 0.032992806285619736, 0.08968175947666168, 0.08968374133110046, 0.032992806285619736, 0.08968374133110046, 0.08968374133110046, 0.032992806285619736, 0.032992806285619736, 0.032992806285619736, 0.032992806285619736, 0.032992806285619736, 0.032992806285619736, 0.032992806285619736, 0.032992806285619736, 0.032992806285619736, 0.032992806285619736, 0.032992806285619736, 0.032992806285619736]	[0.1171688586473465, 0.1136651262640953, 0.09699521213769913, 0.018515992909669876, 0.015858443453907967, 0.031910981982946396, 0.10624300688505173, 0.1171688586473465, 0.016978828236460686, 0.03322680667042732, 0.03322680667042732, 0.03322680667042732, 0.03322680667042732, 0.03322680667042732, 0.03322680667042732, 0.03322680667042732, 0.03322680667042732, 0.03322680667042732, 0.03322680667042732, 0.03322680667042732]
may that all thing go good today at dacula high school . no drama lol	0	0	0	[0.03975377231836319, 0.03975377231836319, 0.10806194692850113, 0.10806194692850113, 0.03975377231836319, 0.03975377231836319, 0.10806194692850113, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319]	[0.020085763186216354, 0.019474191591143608, 0.01945486105978489, 0.14373326301574707, 0.019454898312687874, 0.14373326301574707, 0.019520064815878868, 0.022455688565969467, 0.1437288373708725, 0.04075995460152626, 0.04075995460152626, 0.04075995460152626, 0.04075995460152626, 0.04075995460152626, 0.04075995460152626, 0.04075995460152626, 0.04075995460152626, 0.04075995460152626, 0.04075995460152626, 0.04075995460152626]
put it on em , make em wan na marry me bitch shutup with all that shit . !	0	1	1	[0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.1251547783613205, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304, 0.046044476330280304]	[0.020054390653967857, 0.14708416163921356, 0.14708416163921356, 0.019994929432868958, 0.021339870989322662, 0.019936585798859596, 0.019907992333173752, 0.12447214871644974, 0.021313827484846115, 0.041710201650857925, 0.041710201650857925, 0.041710201650857925, 0.041710201650857925, 0.041710201650857925, 0.041710201650857925, 0.041710201650857925, 0.041710201650857925, 0.041710201650857925, 0.041710201650857925, 0.041710201650857925]
the natalee holloway movie make me wan na cry : sad_but_relieved_face : : sad_but_relieved_face : : sad_but_relieved_face : : loudly_crying_face : : loudly_crying_face :	0	0	0	[0.12507405877113342, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204, 0.04604874178767204]	[0.14391052722930908, 0.01950215920805931, 0.019502107053995132, 0.019503554329276085, 0.019519109278917313, 0.14406049251556396, 0.01950930804014206, 0.14410191774368286, 0.02088167332112789, 0.040864497423172, 0.040864497423172, 0.040864497423172, 0.040864497423172, 0.040864497423172, 0.040864497423172, 0.040864497423172, 0.040864497423172, 0.040864497423172, 0.040864497423172, 0.040864497423172]
i love when my retainer be super tight and make me talk so attractively ! not major lisp	1	1	1	[0.04268389195203781, 0.11602684110403061, 0.04268389195203781, 0.11566312611103058, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781]	[0.0183105431497097, 0.13481485843658447, 0.13481485843658447, 0.01831611804664135, 0.08896917849779129, 0.018256010487675667, 0.1280067414045334, 0.01843663491308689, 0.019535893574357033, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136]
if my mom wasnt my mom i think i would snuff the shit outta her . - ____ -	0	1	1	[0.04266839101910591, 0.11598429083824158, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.115984708070755, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591, 0.04266839101910591]	[0.06555524468421936, 0.13743236660957336, 0.018602613359689713, 0.01871742680668831, 0.018744520843029022, 0.01874980889260769, 0.018629057332873344, 0.13743236660957336, 0.13743236660957336, 0.038973137736320496, 0.038973137736320496, 0.038973137736320496, 0.038973137736320496, 0.038973137736320496, 0.038973137736320496, 0.038973137736320496, 0.038973137736320496, 0.038973137736320496, 0.038973137736320496, 0.038973137736320496]
give a person power that will be a true test of character .	0	0	0	[0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442]	[0.15570798516273499, 0.1554819643497467, 0.026227187365293503, 0.021224599331617355, 0.021073730662465096, 0.02110380120575428, 0.021074116230010986, 0.06830766797065735, 0.024067942053079605, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084]
jersey shore us cancel ? so sad	0	0	0	[0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442]	[0.15570798516273499, 0.1554819643497467, 0.026227187365293503, 0.021224599331617355, 0.021073730662465096, 0.02110380120575428, 0.021074116230010986, 0.06830766797065735, 0.024067942053079605, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084]
user so do you sparkle in the sunlight be a `` vampire `` and all ? _ 	0	1	1	[0.04268389195203781, 0.11602684110403061, 0.04268389195203781, 0.11566312611103058, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781, 0.04268389195203781]	[0.0183105431497097, 0.13481485843658447, 0.13481485843658447, 0.01831611804664135, 0.08896917849779129, 0.018256010487675667, 0.1280067414045334, 0.01843663491308689, 0.019535893574357033, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136, 0.03823086619377136]
i must go like a page for me to look like ise a batty lord , just for one girl idk to get hair ? vell chap my leg off and call me shorty	0	0	0	[0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.10867336392402649, 0.10270465910434723, 0.10871618986129761, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592, 0.03999445214867592]	[0.16650384664535522, 0.022537225857377052, 0.022758793085813522, 0.022605489939451218, 0.1558113545179367, 0.022649399936199188, 0.022536607459187508, 0.022537676617503166, 0.02260986715555191, 0.04722271487116814, 0.04722271487116814, 0.04722271487116814, 0.04722271487116814, 0.04722271487116814, 0.04722271487116814, 0.04722271487116814, 0.04722271487116814, 0.04722271487116814, 0.04722271487116814, 0.04722271487116814]
i feel so much good and my voice be semi - normal .	0	0	0	[0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442]	[0.15570798516273499, 0.1554819643497467, 0.026227187365293503, 0.021224599331617355, 0.021073730662465096, 0.02110380120575428, 0.021074116230010986, 0.06830766797065735, 0.024067942053079605, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084, 0.04415738582611084]
this boy have rosary bead tattoo on him but he be muslim ?	0	1	1	[0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.10807184129953384, 0.10797630995512009, 0.039757613092660904, 0.039757613092660904, 0.10807238519191742, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904, 0.039757613092660904]	[0.10621774196624756, 0.014375175349414349, 0.014376763254404068, 0.10621774196624756, 0.10621774196624756, 0.10621774196624756, 0.08983968198299408, 0.10072987526655197, 0.024473562836647034, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962, 0.03012128174304962]
i just love eight o ' clock class : unamused_face :	1	0	0	[0.11598465591669083, 0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442]	[0.11234989762306213, 0.11234989762306213, 0.11234989762306213, 0.018375197425484657, 0.08248481899499893, 0.06618048250675201, 0.11234989762306213, 0.01668042503297329, 0.01641683466732502, 0.031860243529081345, 0.031860243529081345, 0.031860243529081345, 0.031860243529081345, 0.031860243529081345, 0.031860243529081345, 0.031860243529081345, 0.031860243529081345, 0.031860243529081345, 0.031860243529081345, 0.031860243529081345]
imma stop snapping tho .	0	0	0	[0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.12515535950660706, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762, 0.04604444280266762]	[0.0272222887724638, 0.024372870102524757, 0.02415030635893345, 0.03710174560546875, 0.02422916889190674, 0.17651697993278503, 0.028559213504195213, 0.05060364678502083, 0.05060364678502083, 0.05060364678502083, 0.05060364678502083, 0.05060364678502083, 0.05060364678502083, 0.05060364678502083, 0.05060364678502083, 0.05060364678502083, 0.05060364678502083, 0.05060364678502083, 0.05060364678502083, 0.05060364678502083]
user look awesome . how long do it take to paint ?	0	0	0	[0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442]	[0.14647379517555237, 0.08983824402093887, 0.019898539409041405, 0.05493204668164253, 0.12987160682678223, 0.019874416291713715, 0.019860923290252686, 0.01986493542790413, 0.041615478694438934, 0.041615478694438934, 0.041615478694438934, 0.041615478694438934, 0.041615478694438934, 0.041615478694438934, 0.041615478694438934, 0.041615478694438934, 0.041615478694438934, 0.041615478694438934, 0.041615478694438934, 0.041615478694438934]
i love go into work at 4:30 in the morning it s go to be a long day	1	0	0	[0.10114513337612152, 0.10115312039852142, 0.10115322470664978, 0.10115322470664978, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755, 0.03721219301223755]	[0.1565011441707611, 0.154770165681839, 0.02118288353085518, 0.021182801574468613, 0.021213600412011147, 0.028099792078137398, 0.04300590604543686, 0.021408939734101295, 0.044386208057403564, 0.044386208057403564, 0.044386208057403564, 0.044386208057403564, 0.044386208057403564, 0.044386208057403564, 0.044386208057403564, 0.044386208057403564, 0.044386208057403564, 0.044386208057403564, 0.044386208057403564, 0.044386208057403564]
